,Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class
ZEIT,,,,,,0.8637888023621392,0.782892410449854,-0.2546620948853393,0.0
SWING,,,,,,-0.3249651942825271,0.8517471802449452,-0.42474366583746587,0.0
SAFEX,,,,,,-0.026467866403150225,0.2796666806917764,-0.5599745477748749,0.0
NEBU,,,,,,-0.34329718204589055,1.5018320021462057,-0.08811164952879474,0.0
FRN,,,,,,-0.16564649546071,-1.1297353504561949,0.014598956912506013,3.0
BOLI,,,,,,-0.22809449637544935,-0.910229769510851,0.028309037944781172,3.0
XRA,,,,,,-0.3982411491376275,1.247024531483139,-0.5403433054614901,0.0
REV,,,,,,-0.32371055078395944,0.8516588701233352,-0.4247620764052573,0.0
CKC,,,,,,-0.3213821918157421,0.8515213606191127,-0.42479964315137275,0.0
VIP,,,,,,-0.35890494450101446,1.4971221426940904,-0.5693724803849258,0.0
BSD,,,,,,-0.39913182996135343,1.2469484728620368,-0.5403123470518755,0.0
OMNI,,,,,,-0.16585633077878276,-1.129728586145028,0.014603068116537816,3.0
LIR,,,,,,-0.353360341417543,1.5889619043309484,-0.10139836525686977,0.0
PUT,,,,,,-0.3137687724161544,1.0268838170443064,-0.5544945498689616,0.0
IBANK,,,,,,-0.33747440484771507,1.027480293538504,-0.5540084750437672,0.0
FRWC,,,,,,-0.3359158616397336,1.0274932996466168,-0.5540471651428927,0.0
MUDRA,,,,,,-0.233904521998679,1.5615705153288004,-0.28471156410330367,0.0
PIZZA,,,,,,-0.22824422941906788,-0.9102348495738716,0.028313248853607587,3.0
LC,,,,,,-0.3378448356489145,1.0341901792952217,-0.21799676300275864,0.0
KMD,,,,,,-0.37322607064373703,-1.3181468038367865,0.8660043029106619,3.0
GB,,,,,,-0.39986945615765424,1.2469871934288292,-0.5402998215389083,0.0
CTC,,,,,,-0.33667986171236697,1.0274745415706226,-0.5540266027764011,0.0
KRB,,,,,,0.30011085028939605,-2.3047355094925552,0.3856087663109789,3.0
BXT,,,,,,-0.32514581394094133,0.8517546610498895,-0.42474034084029766,0.0
ZYD,,,,,,-0.1531814338266453,-1.305465713763903,0.14386446004997275,3.0
MST,,,,,,-0.40038396558735107,1.2470034012325975,-0.5402896922562265,0.0
ZNE,,,,,,-0.3376632890911189,1.0274905977019215,-0.5540053177792348,0.0
COVAL,,,,,,-0.10942951157327901,-1.8157610214779933,0.37270850954807455,3.0
ROOT,,,,,,-0.3378197725581677,1.0275003298891,-0.5540028562460303,0.0
DOPE,,,,,,-0.1630273127388635,-1.1297754134327143,0.014541920077572029,3.0
BTCR,,,,,,-0.2858705900263614,0.8147962461294982,-0.2314725010103318,0.0
DLC,,,,,,-0.15314012813464978,-1.3054649586383815,0.14386338174072882,3.0
SCN,,,,,,-0.21739278462544825,0.3451308882960604,-0.3396853642596147,0.0
SH,,,,,,-0.16552023182452164,-1.129738229162632,0.01459632946488242,3.0
BUZZ,,,,,,0.02314010009552473,1.9023917545268707,-0.7923772977612702,0.0
XPO,,,,,,-0.3422558809048239,1.501828653292954,-0.08813594725128404,0.0
PSB,,,,,,-0.337434552197713,1.0275133994404868,-0.554013689711889,0.0
HALLO,,,,,,-0.38656692764937967,1.2463999503125192,-0.5405400273005927,0.0
XZC,,,,,,-0.14260415399918525,-2.347426293939273,0.39626164120378304,3.0
CFC,,,,,,-0.34158564361042837,1.5018757453606877,-0.08815793587739601,0.0
ROYAL,,,,,,-0.23533304863480564,1.5616635085583594,-0.284689627824715,0.0
GNJ,,,,,,-0.43775410854588626,2.0172493666746196,-0.8131491796605205,0.0
TEAM,,,,,,-0.34133468275112233,1.501697318193731,-0.08814089189607903,0.0
LANA,,,,,,-0.2908928613518235,1.9006862536876405,-0.7846995605054065,0.0
ELE,,,,,,-0.14457999907314462,-2.046900652333243,0.38889277142417783,3.0
ZCL,,,,,,-0.17679355914316286,-2.015235755646442,0.489011020438446,3.0
ARK,,,,,,3.7591110108670374,1.8029564329144272,0.051328174907214086,0.0
INSANE,,,,,,-0.39997713458430234,1.2469978651962574,-0.5402986401952851,0.0
KLC,,,,,,-0.09268730363578852,-1.1344082166908172,0.013468731358212867,3.0
ATX,,,,,,-0.21484829810413245,-0.9101205788600006,0.027980381304731152,3.0
EMB,,,,,,0.8452121479910815,1.8121832361402954,-0.6389906074461138,0.0
XEN,,,,,,-0.40033894716653107,1.2470043173973029,-0.5402908794998916,0.0
FRE,,,,,,-0.3427189104915627,1.5018301339000852,-0.08812514182115669,0.0
PLNC,,,,,,-0.3373621789672187,1.0274882505601046,-0.554012166124461,0.0
ARCO,,,,,,-0.3375162519195806,1.0274805450258555,-0.5540075136563877,0.0
KURT,,,,,,-0.2260755970051748,-0.9103066723588207,0.028271006647534312,3.0
XCRE,,,,,,-0.34329718204589055,1.5018320021462057,-0.08811164952879474,0.0
ENT,,,,,,-0.3999144730959661,1.2469785036062113,-0.5402976321013241,0.0
EUC,,,,,,-0.32500870971577517,0.8517600289002675,-0.4247442889353253,0.0
BCF,,,,,,-0.3373629200999394,1.0274921934469365,-0.5540126568654716,0.0
XSN,,,,,,-0.35786170213744334,0.758529156866217,-0.23075009146625716,0.0
BCCOIN,,,,,,-0.337510078699308,1.0274907819842365,-0.5540089800753227,0.0
MONEY,,,,,,-0.33310450657986673,1.0271942710447413,-0.5540753783222799,0.0
XNG,,,,,,-0.4003678928967515,1.2470025140359122,-0.5402899595776384,0.0
XCI,,,,,,0.30010523546604967,-2.304743578752375,0.385609939995347,3.0
RC,,,,,,-0.33672192032414633,1.027434437064208,-0.554020433415372,0.0
PND,,,,,,0.3546437339297469,0.8132384273553468,-0.24648299627254616,0.0
UNITS,,,,,,-0.33770905068042206,1.027494775136586,-0.5540047695853696,0.0
GAKH,,,,,,-0.33777951927219774,1.0274993206433505,-0.5540036820881715,0.0
