,Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class
CARE,,,,,,-0.4159930181082155,1.7904222695314798,-0.5454003705942847,0.0
NZL,,,,,,-0.3429813177295088,1.5017997435512869,-0.0881149918922631,0.0
XMC,,,,,,0.30027025899194115,-2.304736117668917,0.38560505898227154,3.0
PROTON,,,,,,-0.31953112083711427,0.7274827105335153,-0.09083989947769731,0.0
DEAL,,,,,,-0.2844602711260504,1.0256420790050376,-0.5550304939679864,0.0
JUMP,,,,,,-0.1881790172424203,-0.6600988962104631,-0.0007381823144905059,3.0
INFX,,,,,,-0.14214701364349733,-2.2643295628715565,0.48239069885832286,3.0
XBI,,,,,,-0.10939456698036812,0.8711669957620019,-0.024648896764982255,0.0
KEC,,,,,,-0.17562470344522063,-2.1847597900884783,0.36775689884957297,3.0
HWC,,,,,,-0.28728303905607927,0.8147297027795625,-0.2314303780884113,0.0
GIN,,,,,,-0.14268840869092703,-2.347421345349654,0.39626300413400845,3.0
PLTC,,,,,,0.30419288405645434,-2.305019604995886,0.38554845098083224,3.0
LOKI,,,,,,0.5693492058352352,-2.207785889703342,0.2605229594107679,3.0
NCP,,,,,,2.1060905223267588,-2.3752462485679198,0.35180990957643143,3.0
SIC,,,,,,-0.1412311050160466,1.0268643234530717,-0.5585895702381894,0.0
XT3,,,,,,-0.2875346685789949,0.8147082731056134,-0.23142163938236304,0.0
MGD,,,,,,-0.17908763832208763,-2.2358374867041197,0.3574163378237818,3.0
VIG,,,,,,-0.3561112437715473,1.9037781154233504,-0.7835493354908638,0.0
PLURA,,,,,,0.313854716446397,-2.3049783035929585,0.38531367083889134,3.0
EMAR,,,,,,-0.33698537730878403,1.0274684737071886,-0.5540185648915482,0.0
DKD,,,,,,-0.20962180330442126,1.702947147249974,-0.3673875449642373,0.0
LYNX,,,,,,2.2608285904540173,0.27300341913318504,-0.32192887586971913,0.0
POSQ,,,,,,-0.3645746594749212,1.5773778632260012,-0.22281353248275512,0.0
BWS,,,,,,-0.2739826418269118,0.6389671382985357,-0.10218056144991314,0.0
MUSE,,,,,,1.039120535274834,1.650958684107554,0.003358642752256531,0.0
XMN,,,,,,-0.1975770159479873,-1.2169594466016636,0.1551789419668027,3.0
PLUS1,,,,,,-0.14046643976042694,-2.244873496215166,0.3008103861463284,3.0
AXE,,,,,,-0.22822845034612615,-0.9102314492251252,0.028312435727748497,3.0
TRVC,,,,,,-0.3687729415145671,0.9402517554542187,-0.41344292605795124,0.0
DTEM,,,,,,-0.36897388605085835,1.577679130605873,-0.2227478981641417,0.0
GIC,,,,,,-0.4190044999203193,1.7904596584071424,-0.5453336724305482,0.0
PNY,,,,,,-0.16843861391462198,0.8066900956476335,-0.23321625365021503,0.0
ABS,,,,,,-0.37412899470299277,0.9695667248732083,-0.35225867157338103,0.0
VITAE,,,,,,-0.3676953931493863,1.5776659227887115,-0.2227765577865536,0.0
HEX,,,,,,-0.16569445838434899,-1.1297384856138708,0.01460050017068915,3.0
TPC,,,,,,-0.3306988577383197,1.0270256733083756,-0.554110772505729,0.0
WEBC,,,,,,-0.12429972834150423,-2.218896992976608,0.461360975731124,3.0
RYO,,,,,,-0.13264182077681286,-2.1613378712878855,0.44311339935730193,3.0
URALS,,,,,,-0.057886086794979086,-0.799189115178057,0.18846162096752492,3.0
QWC,,,,,,3.0881097577088967,-2.254350141300761,0.20670919914470057,3.0
ARE,,,,,,-0.3498846248603676,1.0342128829499664,-0.21771376157554698,0.0
EUNO,,,,,,-0.3996839724841563,1.2469934864201953,-0.5403050378546861,0.0
MMO,,,,,,-0.28478433876452003,0.8146468745750493,-0.2314790400668452,0.0
KETAN,,,,,,-0.342082413185835,1.5017371284516785,-0.08812826691114292,0.0
PPAI,,,,,,-0.1128474993575132,-1.305594439575479,0.1429231804199896,3.0
XDNA,,,,,,-0.37436785218069435,1.0278938882247377,-0.5141414362969274,0.0
PAXEX,,,,,,-0.3497461728389184,1.0341853489729564,-0.21771349976728455,0.0
AZART,,,,,,-0.22819985697408732,-0.9102333441291721,0.028312000977282502,3.0
TSC,,,,,,-0.19749914209610278,1.019368532159477,-0.5562868765146324,0.0
KCASH,,,,,,-0.19772365544405504,1.7382880587333251,-0.0897967041091827,0.0
XCG,,,,,,-0.19700556046712192,-1.2169958719367628,0.1551700668652598,3.0
AAC,,,,,,-0.17971240033194322,2.3138860914761192,19.21170714931733,1.0
CRYP,,,,,,-0.07155694343303284,-2.0170938115153145,0.486751347066554,3.0
BTXC,,,,,,-0.1811867266225164,1.1453383771837236,-0.05753624407090167,0.0
ACM,,,,,,-0.14208703529073,-2.3474535867353703,0.3962528791015955,3.0
BSV,,,,,,-0.15295840053126297,-1.3054662146623435,0.14385922789326322,3.0
BITM,,,,,,0.7938219190298046,0.7546512884005385,0.18111567977366044,0.0
JMC,,,,,,-0.14059862749382782,1.0413528207082636,-0.2236045436725371,0.0
FRED,,,,,,0.3799128360998096,-2.307808177283009,0.3841097260583712,3.0
HERB,,,,,,-0.41830020992356953,1.790448565029009,-0.545348968126207,0.0
UMO,,,,,,-0.13497068351402594,-2.1461541396817596,0.42809445474739505,3.0
LIT,,,,,,-0.13536217366715653,-2.146110199783298,0.4280980870935389,3.0
PIRATE,,,,,,-0.2981740336249009,-0.07081788222682657,0.2429816868665179,0.0
EXO,,,,,,-0.14306528474858157,-2.214768878980586,0.3813891327043458,3.0
BLTG,,,,,,-0.16458840385062742,-1.129771077206052,0.014578434802481803,3.0
OWC,,,,,,-0.3375145389605067,1.027495644417192,-0.554009501045819,0.0
BEAM,,,,,,-0.17471512406593956,-2.01533842914477,0.4889748977647699,3.0
GALI,,,,,,-0.4187556336777318,1.790458156661536,-0.5453393890488758,0.0
BTH,,,,,,-0.17648528273310912,-2.015232377467713,0.4890032637592028,3.0
CSPN,,,,,,-0.36909068292270525,1.5776806329803346,-0.22274531809380319,0.0
CREDIT,,,,,,0.5676235542980971,1.004644140281069,-0.5725591323348497,0.0
SLC,,,,,,-0.19880233149753151,-1.440446259801704,0.1066004868488093,3.0
DASHP,,,,,,-0.350360804046336,1.034222011062932,-0.21770362982522656,0.0
NSD,,,,,,-0.33699821850624884,1.0274680380378745,-0.5540182037614301,0.0
BEET,,,,,,-0.22556189457804668,1.3579771150440683,-0.38023804698668157,0.0
TTN,,,,,,-0.31089822693344904,1.9018024477705655,-0.784368367234166,0.0
AWR,,,,,,-0.3972521019690149,1.2468109806888623,-0.5403392616603732,0.0
BLAST,,,,,,-0.15223564287525124,-1.3054724921263559,0.1438428727178597,3.0
XRC,,,,,,-0.11328112089360798,-0.3827914626629977,-0.03867145746614521,3.0
GLT,,,,,,-0.1511052619112817,-1.3055086312862416,0.14382068700506534,3.0
INSN,,,,,,-0.3999108661974154,1.2470001135148219,-0.540300503846277,0.0
ALX,,,,,,3.776182149609947,1.8029088936344002,0.05092888777627002,0.0
LDOGE,,,,,,0.0967551320202191,1.0171755643620592,-0.5629922817747861,0.0
SLR,,,,,,0.5292265811660618,-1.1764099831392436,0.004114260524409136,3.0
TRK,,,,,,-0.39745453354356364,1.2471049381975907,-0.540372353047924,0.0
UFO,,,,,,-0.10352302234232458,-1.6406400764438605,0.24605019133000483,3.0
OC,,,,,,-0.3363845576242493,1.0274057728597608,-0.5540247497475888,0.0
BLC,,,,,,-0.08589850220922554,-2.149427710827519,0.4273511070507907,3.0
BITS,,,,,,-0.33720839952618403,1.0274822112182203,-0.5540150395457085,0.0
NEOS,,,,,,-0.2751952636926548,0.638982768757785,-0.10215377851683732,0.0
HYPER,,,,,,-0.337725961228846,1.0275035126699577,-0.554005494481019,0.0
PINK,,,,,,-0.3915516617976469,1.246947082094257,-0.5404921863711452,0.0
CESC,,,,,,-0.14927327656306752,-1.1298817747641838,0.014228993306285617,3.0
ADC,,,,,,-0.2515554011934467,1.0229064240869037,-0.5554592416939377,0.0
NKA,,,,,,-0.10514500130723076,0.8590976850920872,-0.4309117683120439,0.0
PIGGY,,,,,,-0.3873062778313707,1.2467329916276013,-0.5405654065370279,0.0
CRW,,,,,,-0.15274883142174292,-1.3054741457880954,0.14385527344443375,3.0
GEN,,,,,,-0.3370054303165577,1.0275172146914673,-0.5540243726558987,0.0
SMLY,,,,,,0.5489025423664273,-1.1412907453983723,-0.0008808108115672093,3.0
MI,,,,,,-0.330080497814613,1.027476403408311,-0.5541835686823454,0.0
GRS,,,,,,-0.21113890698883034,-1.1906452424694125,0.13220415131966987,3.0
CPC,,,,,,-0.39648480901669975,1.2469888582479272,-0.5403804169180386,0.0
CLUB,,,,,,-0.33544696550649816,1.027466233033741,-0.5540548111858475,0.0
RADS,,,,,,-0.3435723804903184,1.5018305441229165,-0.08810492596457103,0.0
BTA,,,,,,-0.16577119363714907,-1.1297288373817267,0.014601078616897136,3.0
PAK,,,,,,-0.16372995116559502,-1.1297863596539273,0.014560018035194201,3.0
CRB,,,,,,-0.3645235416661033,0.6484775325246859,-0.3355636525779158,0.0
OK,,,,,,-0.32364764059981493,0.851745325177832,-0.4247747167683185,0.0
LSK,,,,,,3.759502234414112,1.8029446957932096,0.05132039710695491,0.0
XHI,,,,,,-0.09511647974192025,0.8140992096435714,-0.23591278386814882,0.0
XWC,,,,,,-0.3326461086308183,1.0274609838487998,-0.554120650947564,0.0
FSC,,,,,,-0.3500232146941599,0.5168814641028334,-0.32082331415901444,0.0
J,,,,,,-0.13006049101158831,-1.8156034824454823,0.3731781561628752,3.0
TRI,,,,,,-0.2852829139276036,1.774437128855915,-0.6072764292003198,0.0
VOLLAR,,,,,,-0.13818413709532154,-2.23059528520189,0.284067738283192,3.0
EOS,,,,,,3.769354066968047,1.8033934852694238,0.05102856878225862,0.0
RCC,,,,,,-0.1446131069496544,-2.0469005453701965,0.38889354390060876,3.0
OXY,,,,,,3.7705961875476515,1.8034356272754286,0.050993636903590635,0.0
TCH,,,,,,-0.2561217697934763,0.6389286741942315,-0.10259977369535238,0.0
WAVES,,,,,,-0.4591270973958546,3.415982966878149,13.849346522891377,1.0
PART,,,,,,-0.343508351305794,1.5018329785186741,-0.08810676042781761,0.0
BTT,,,,,,34.03048664904652,1.7135305110057681,-0.8676753806724108,2.0
NXT,,,,,,-0.3035498271085878,1.340194499776939,-0.02245546859887274,0.0
ZEPH,,,,,,2.4812897641390297,0.790877804491914,-0.05503769964211532,0.0
GAP,,,,,,-0.33589165240261976,1.0273866833263512,-0.5540339944290734,0.0
BDX,,,,,,0.3218121873200152,-2.304994986676241,0.3851268426783303,3.0
ZEN,,,,,,-0.17677303165509903,-2.0152350592007506,0.4890104431484996,3.0
XBC,,,,,,-0.2879305494910143,0.8147256406698417,-0.23141447688836894,0.0
